Time, Seller, Reward Winner, TokenId, Mint Price ETH, Selling Price ETH, Up Sold, Royalty, Reward
2021-05-23T23:01:44.000Z, '0xd5a9c4a92dde274e126f82b215fccb511147cd8e', '0xd5a9c4a92dde274e126f82b215fccb511147cd8e', 3657, 0.08, 0.449, 561.25%, 50%, 0.02245 
2021-05-23T23:02:37.000Z, '0xf44587ffd04b0dcaa7e7138d2b56082b83b75cb0', '0xf44587ffd04b0dcaa7e7138d2b56082b83b75cb0', 2667, 0.08, 0.5, 625%, 50%, 0.025 
2021-05-23T23:02:37.000Z, '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', 7767, 0.08, 0.3888, 486.00000000000006%, 50%, 0.01944 
2021-05-23T23:03:13.000Z, '0xbfadff92855cbb45495df33e45d91170e478b2b5', '0xbfadff92855cbb45495df33e45d91170e478b2b5', 8752, 0.08, 0.58, 725%, 50%, 0.029 
2021-05-23T23:08:03.000Z, '0x4f4715ca99c973a55303bc4a5f3e3acbb9ff75db', '0x4f4715ca99c973a55303bc4a5f3e3acbb9ff75db', 8772, 0.08, 0.39, 487.5%, 50%, 0.0195 
2021-05-23T23:09:09.000Z, '0x32a88f097056c773569abb6a3cf8d88228466e00', '0x32a88f097056c773569abb6a3cf8d88228466e00', 1022, 0.08, 0.72, 900%, 50%, 0.036 
2021-05-23T23:58:15.000Z, '0xc948454951290bbb83e6d56e6fee5e9653750e7f', '0xc948454951290bbb83e6d56e6fee5e9653750e7f', 9134, 0.08, 0.7, 875%, 50%, 0.035 
2021-05-24T00:04:16.000Z, '0xa2274adca3bb9eb790abe74dcc6a6593126f071c', '0xa2274adca3bb9eb790abe74dcc6a6593126f071c', 8137, 0.08, 0.54, 675%, 50%, 0.027 
2021-05-24T00:38:16.000Z, '0x527d968af4283f20924c2e5b8dff867aab566478', '0x527d968af4283f20924c2e5b8dff867aab566478', 7188, 0.08, 0.49, 612.5%, 50%, 0.0245 
2021-05-24T00:39:21.000Z, '0x9499054d02a725316d61fa896c29d58550ee4a5b', '0x9499054d02a725316d61fa896c29d58550ee4a5b', 5550, 0.08, 0.5, 625%, 50%, 0.025 
2021-05-24T00:50:39.000Z, '0x059b738209b28f91d42e0f44746a47e8d2dbd266', '0x059b738209b28f91d42e0f44746a47e8d2dbd266', 3973, 0.08, 0.41, 512.5%, 50%, 0.0205 
2021-05-24T00:51:40.000Z, '0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7', '0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7', 282, 0.08, 0.5, 625%, 50%, 0.025 
2021-05-24T00:54:55.000Z, '0x36f9b64d012156ac91cc8faa1fa86333d7ab97f4', '0x36f9b64d012156ac91cc8faa1fa86333d7ab97f4', 7193, 0.08, 0.395, 493.75%, 50%, 0.01975 
2021-05-24T00:56:03.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 2463, 0.08, 0.575, 718.75%, 50%, 0.02875 
2021-05-24T00:58:15.000Z, '0xadfdc054beb2336576a1be1010e32755a9d38346', '0xadfdc054beb2336576a1be1010e32755a9d38346', 7792, 0.08, 0.55, 687.5%, 50%, 0.0275 
2021-05-24T01:04:00.000Z, '0xd7f5663e7e93f0c1fb9347c9aef4a17f23522a37', '0xd7f5663e7e93f0c1fb9347c9aef4a17f23522a37', 7388, 0.08, 0.4, 500%, 50%, 0.02 
2021-05-24T01:07:12.000Z, '0xcfc9e5258a8773cea0440077779a17096a045bf2', '0xcfc9e5258a8773cea0440077779a17096a045bf2', 1132, 0.08, 0.45, 562.5%, 50%, 0.0225 
2021-05-24T01:10:06.000Z, '0x8928b26de9ecc59cacdba095c6ed6237f48ddbd2', '0x8928b26de9ecc59cacdba095c6ed6237f48ddbd2', 7170, 0.08, 0.57, 712.5%, 50%, 0.0285 
2021-05-24T01:13:18.000Z, '0xd5a771da32a392036a98f7da6b11d46d6d1c61f9', '0xd5a771da32a392036a98f7da6b11d46d6d1c61f9', 3890, 0.08, 0.69, 862.5%, 50%, 0.0345 
2021-05-24T01:18:58.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 5993, 0.08, 0.4, 500%, 50%, 0.02 
2021-05-24T01:38:02.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 5499, 0.08, 0.4, 500%, 50%, 0.02 
2021-05-24T02:03:16.000Z, '0xaf49a9d6c202d6aea7277adf765096e6191a981e', '0xaf49a9d6c202d6aea7277adf765096e6191a981e', 8183, 0.08, 1.7, 2125%, 50%, 0.085 
2021-05-24T02:08:34.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 4827, 0.08, 0.4, 500%, 50%, 0.02 
2021-05-24T02:31:23.000Z, '0x813ec5facf289bd41365a8f1c9038a1228e95201', '0x813ec5facf289bd41365a8f1c9038a1228e95201', 6930, 0.08, 0.49, 612.5%, 50%, 0.0245 
2021-05-24T02:35:20.000Z, '0x514b1861561fddf86baf8462e001a1584e1b7b83', '0x514b1861561fddf86baf8462e001a1584e1b7b83', 4986, 0.08, 0.2441, 305.125%, 50%, 0.012205 
2021-05-24T02:37:11.000Z, '0x514b1861561fddf86baf8462e001a1584e1b7b83', '0x514b1861561fddf86baf8462e001a1584e1b7b83', 4992, 0.08, 0.2441, 305.125%, 50%, 0.012205 
2021-05-24T02:38:25.000Z, '0x514b1861561fddf86baf8462e001a1584e1b7b83', '0x514b1861561fddf86baf8462e001a1584e1b7b83', 4505, 0.08, 0.25, 312.5%, 50%, 0.0125 
2021-05-24T02:39:30.000Z, '0x514b1861561fddf86baf8462e001a1584e1b7b83', '0x514b1861561fddf86baf8462e001a1584e1b7b83', 6911, 0.08, 0.2441, 305.125%, 50%, 0.012205 
2021-05-24T02:50:52.000Z, '0x7a139127ea61a1e4ea83affc32b79aa25e681f3a', '0x7a139127ea61a1e4ea83affc32b79aa25e681f3a', 4956, 0.08, 0.3888, 486.00000000000006%, 50%, 0.01944 
2021-05-24T03:02:57.000Z, '0xa099c36078b8cb8be1cc3bd39e5cbc70f1fb5111', '0xa099c36078b8cb8be1cc3bd39e5cbc70f1fb5111', 6413, 0.08, 0.39, 487.5%, 50%, 0.0195 
2021-05-24T03:11:23.000Z, '0x263bb31e30907edaecd3cd95d7d43f93dd074b6b', '0x263bb31e30907edaecd3cd95d7d43f93dd074b6b', 4608, 0.08, 0.45, 562.5%, 50%, 0.0225 
